epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
166,658.719,0.6017,0.46597,0.94653,0.6646,0.84375,0.77787,0.55968,1.01939,1.12164,1.38144,0.00112239,0.00112239,0.00112239
167,663.1,0.66197,0.54178,0.97724,0.70339,0.78544,0.81111,0.5655,1.09189,1.00197,1.39922,0.00111909,0.00111909,0.00111909
168,666.813,0.60909,0.48675,0.95731,0.68884,0.80208,0.79998,0.54817,1.06731,1.1296,1.4455,0.00111579,0.00111579,0.00111579
169,670.592,0.62414,0.52689,0.94935,0.69171,0.76042,0.78629,0.54164,1.07643,1.27577,1.42927,0.00111249,0.00111249,0.00111249
170,674.552,0.61872,0.4848,0.95336,0.67985,0.79859,0.82736,0.58616,1.04427,1.45847,1.29715,0.00110919,0.00110919,0.00110919
171,679.437,0.59246,0.49587,0.94634,0.68366,0.81043,0.8261,0.58334,1.05874,1.37449,1.35265,0.00110589,0.00110589,0.00110589
172,683.059,0.54815,0.42158,0.92024,0.70317,0.82292,0.80183,0.58018,1.03194,1.05495,1.37771,0.00110259,0.00110259,0.00110259
173,686.872,0.61935,0.48212,0.96823,0.77285,0.73958,0.76956,0.56116,1.04941,0.98592,1.37991,0.00109929,0.00109929,0.00109929
174,691.31,0.63248,0.49359,0.96528,0.67678,0.82292,0.72891,0.52239,1.1192,1.14057,1.46726,0.00109599,0.00109599,0.00109599
175,695.292,0.63274,0.47276,0.96128,0.74365,0.72917,0.71802,0.51073,1.08525,1.08169,1.40834,0.00109269,0.00109269,0.00109269
176,698.961,0.63519,0.46904,0.94517,0.75025,0.76379,0.73207,0.5145,1.03439,1.06387,1.40665,0.00108938,0.00108938,0.00108938
177,703.002,0.6243,0.4764,0.97185,0.74856,0.76977,0.7101,0.47459,1.11089,1.1798,1.49965,0.00108608,0.00108608,0.00108608
178,707.467,0.61134,0.45611,0.97327,0.72161,0.68205,0.77436,0.53286,1.11521,1.17424,1.4506,0.00108278,0.00108278,0.00108278
179,710.893,0.6284,0.51445,0.94816,0.63056,0.82975,0.79759,0.57389,1.05825,1.11105,1.39347,0.00107948,0.00107948,0.00107948
